EcoPortCode,ScientificName,AUTH,FAMNAME,SYNO,COMNAME,LIFO,HABI,LISPA,PHYS,CAT,PLAT,TOPMN,TOPMX,TMIN,TMAX,ROPMN,ROPMX,RMIN,RMAX,PHOPMN,PHOPMX,PHMIN,PHMAX,LATOPMN,LATOPMX,LATMN,LATMX,ALTMX,LIOPMN,LIOPMX,LIMN,LIMX,DEP,DEPR,TEXT,TEXTR,FER,FERR,TOX,TOXR,SAL,SALR,DRA,DRAR,KTMPR,KTMP,PHOTO,CLIZ,ABITOL,ABISUS,INTRI,PROSY,GMIN,GMAX,COMNAME_LIST,CAT_LIST,CLIZ_LIST,SYNO_LIST,PLAT_LIST,LISPA_LIST,TEXTR_LIST,FERR_LIST,TOXR_LIST,DRAR_LIST,HABI_LIST,LIFO_LIST,PHYS_LIST,PROSY_LIST,INTRI_LIST,ABITOL_LIST,ABISUS_LIST,PHOTO_LIST,PHOTO_DESC,TEXT_LIST,TEXT_DESC,DRA_LIST,DRA_DESC,SALR_LIST,SALR_DESC,FER_LIST,FER_DESC,TOX_LIST,TOX_DESC,DEPR_LIST,DEPR_DESC,IS_DROUGHT_TOLERANT,IS_DROUGHT_SUSCEPTIBLE,IS_FIRE_TOLERANT,IS_FIRE_SUSCEPTIBLE,IS_SALINE_TOLERANT,IS_SALINE_INTOLERANT,IS_MULTIPLE_PHOTO_PERIODS,SOIL_TEXTURE_FLEXIBILITY_SCORE,IS_SOIL_TEXTURE_TOLERANT,IS_HIGH_TEMPERATURE_TOLERANT,IS_LOW_TEMPERATURE_TOLERANT,GROWTH_CYCLE_DAYS,IS_FAST_CYCLE,PRECIP_RANGE_WIDTH,IS_WIDE_PRECIP_TOLERANCE,PH_RANGE_WIDTH,IS_PH_FLEXIBLE,TEMP_RANGE_WIDTH,IS_TEMP_FLEXIBLE,CLIZ_ZONE_COUNT,HAS_MULTIPLE_COMMON_NAMES,IS_SHALLOW_ROOTED,IS_SHORT_DAY,CLIMATE_ADAPT_SCORE,SOIL_ADAPT_SCORE,WATER_ADAPT_SCORE,ADAPTABILITY_SCORE,ADAPTABILITY_LABEL
1357,Litchi chinensis,Sonn.,Magnoliopsida:Rosidae:Sapindales:Sapindaceae,"Litchi sinensis Radik, Nephelium litchi Cambess","litchi, lychee, lin-chee",tree,erect,perennial,"evergreen, single stem, C3 photosynthesis","fruits & nuts, materials, ornamentals/turf, medicinals & aromatic, forest/wood, environmental",grown on large scale,20.0,35.0,15.0,40.0,1000.0,1700.0,700.0,2800.0,5.5,6.5,5.0,8.5,13.0,9.0,29.0,32.0,2000.0,very bright,clear skies,very bright,cloudy skies,deep (>>150 cm),shallow (20-50 cm),"medium, organic","heavy, medium, light",moderate,low,nan,,low (<4 dS/m),low (<4 dS/m),well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",-5.0,-1.0,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","tropical wet & dry (Aw), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)",,wind,,,100.0,270.0,"['litchi', 'lychee', 'lin-chee']","['fruits & nuts', 'materials', 'ornamentals/turf', 'medicinals & aromatic', 'forest/wood', 'environmental']","['tropical wet & dry (aw)', 'subtropical humid (cf)', 'subtropical dry summer (cs)', 'subtropical dry winter (cw)']","['litchi sinensis radik', 'nephelium litchi cambess']",['grown on large scale'],['perennial'],"['heavy', 'medium', 'light']",['low'],[],"['poorly (saturated >50% of year)', 'well (dry spells)', 'excessive (dry/moderately dry)']",['erect'],['tree'],"['evergreen', 'single stem', 'c3 photosynthesis']",[],[],[],['wind'],"['short day', 'neutral day', 'long day']","['short day (<12 hours)', 'neutral day (12-14 hours)', 'long day (>14 hours)']","['medium', 'organic']","['medium', 'organic']",['well'],['well (dry spells)'],['low'],['low (<4 dS/m)'],['moderate'],['moderate'],['nan'],['nan'],['shallow'],['shallow (20-50 cm)'],False,False,False,False,False,False,False,0,False,True,False,170.0,False,2100.0,True,3.5,True,25.0,True,0,False,False,False,0.5666666666666667,0.6666666666666666,0.5,0.585,Low
1362,Lolium perenne,L.,Liliopsida:Commelinidae:Cyperales:Gramineae,,"perennial ryegrass, English ryegrass, crested ryegrass, ausdauerndes weidelgras, Engelskt rajgr�s, renrepe, raigras, almindelig rajgr�s, Englanninraihein�, t�nr�ggresi",grass,erect,"annual, biennial, perennial",,forage/pasture,grown on large scale,14.0,25.0,4.0,35.0,700.0,1750.0,500.0,2300.0,5.0,7.0,4.5,8.4,33.0,30.0,60.0,64.0,2000.0,clear skies,very bright,light shade,very bright,medium (50-150 cm),shallow (20-50 cm),"heavy, medium","heavy, medium",high,moderate,nan,,low (<4 dS/m),medium (4-10 dS/m),well (dry spells),well (dry spells),-2.0,0.0,long day (>14 hours),"steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E)",,,,large scale/commercial,90.0,270.0,"['perennial ryegrass', 'english ryegrass', 'crested ryegrass', 'ausdauerndes weidelgras', 'engelskt rajgrs', 'renrepe', 'raigras', 'almindelig rajgrs', 'englanninraihein', 'tnrggresi']",['forage/pasture'],"['steppe or semiarid (bs)', 'subtropical humid (cf)', 'subtropical dry summer (cs)', 'subtropical dry winter (cw)', 'temperate oceanic (do)', 'temperate continental (dc)', 'temperate with humid winters (df)', 'temperate with dry winters (dw)', 'boreal (e)']",[],['grown on large scale'],"['annual', 'biennial', 'perennial']","['heavy', 'medium']",['moderate'],[],['well (dry spells)'],['erect'],['grass'],[],['large scale/commercial'],[],[],[],['long day'],['long day (>14 hours)'],"['heavy', 'medium']","['heavy', 'medium']",['well'],['well (dry spells)'],['medium'],['medium (4-10 dS/m)'],['high'],['high'],['nan'],['nan'],['shallow'],['shallow (20-50 cm)'],False,False,False,False,False,False,False,0,False,False,True,180.0,False,1800.0,True,3.9000000000000004,True,31.0,True,0,False,False,False,0.6,0.6666666666666666,0.5,0.598,Low
1407,Malus domestica,Borkh.,Magnoliopsida:Rosidae:Rosales:Rosaceae,Malus sylvestris Miller,"apple, mela, appel",tree,erect,perennial,"deciduous, single stem","fruits & nuts, materials, ornamentals/turf, forest/wood",grown on large scale,14.0,27.0,8.0,33.0,700.0,2500.0,500.0,3200.0,6.0,7.0,4.5,8.0,35.0,30.0,50.0,60.0,1800.0,very bright,clear skies,very bright,cloudy skies,deep (>>150 cm),medium (50-150 cm),"medium, light","heavy, medium, light",high,moderate,nan,,low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),-30.0,-2.0,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",,,,,180.0,320.0,"['apple', 'mela', 'appel']","['fruits & nuts', 'materials', 'ornamentals/turf', 'forest/wood']","['subtropical humid (cf)', 'subtropical dry summer (cs)', 'subtropical dry winter (cw)', 'temperate oceanic (do)', 'temperate continental (dc)', 'temperate with humid winters (df)', 'temperate with dry winters (dw)']",['malus sylvestris miller'],['grown on large scale'],['perennial'],"['heavy', 'medium', 'light']",['moderate'],[],['well (dry spells)'],['erect'],['tree'],"['deciduous', 'single stem']",[],[],[],[],"['short day', 'neutral day', 'long day']","['short day (<12 hours)', 'neutral day (12-14 hours)', 'long day (>14 hours)']","['medium', 'light']","['medium', 'light']",['well'],['well (dry spells)'],['low'],['low (<4 dS/m)'],['high'],['high'],['nan'],['nan'],['medium'],['medium (50-150 cm)'],False,False,False,False,False,False,False,0,False,False,True,140.0,False,2700.0,True,3.5,True,25.0,True,0,False,False,False,0.5666666666666667,0.6666666666666666,0.5,0.585,Low
1410,Malus sylvestris,,Magnoliopsida:Rosidae:Rosales:Rosaceae,Malus communis Poiret. ssp. sylvestris (Mill.) Gams,"wild crab, crab apple, crabapple, wild apple, maca-brava, maguilho",tree,erect,perennial,"deciduous, single stem","fruits & nuts, medicinals & aromatic, forest/wood",harvested from wild,10.0,30.0,6.0,35.0,900.0,1200.0,400.0,1800.0,6.2,7.0,4.5,8.2,38.0,35.0,60.0,65.0,2500.0,very bright,clear skies,very bright,cloudy skies,deep (>>150 cm),shallow (20-50 cm),"medium, light","heavy, medium, light",moderate,moderate,nan,,low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),-2.0,0.0,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",,,,,180.0,320.0,"['wild crab', 'crab apple', 'crabapple', 'wild apple', 'maca-brava', 'maguilho']","['fruits & nuts', 'medicinals & aromatic', 'forest/wood']","['steppe or semiarid (bs)', 'subtropical humid (cf)', 'subtropical dry summer (cs)', 'subtropical dry winter (cw)', 'temperate oceanic (do)', 'temperate continental (dc)', 'temperate with humid winters (df)', 'temperate with dry winters (dw)']",['malus communis poiret. ssp. sylvestris (mill.) gams'],['harvested from wild'],['perennial'],"['heavy', 'medium', 'light']",['moderate'],[],['well (dry spells)'],['erect'],['tree'],"['deciduous', 'single stem']",[],[],[],[],"['short day', 'neutral day', 'long day']","['short day (<12 hours)', 'neutral day (12-14 hours)', 'long day (>14 hours)']","['medium', 'light']","['medium', 'light']",['well'],['well (dry spells)'],['low'],['low (<4 dS/m)'],['moderate'],['moderate'],['nan'],['nan'],['shallow'],['shallow (20-50 cm)'],False,False,False,False,False,False,False,0,False,False,True,140.0,False,1400.0,False,3.6999999999999993,True,29.0,True,0,False,False,False,0.5933333333333334,0.6666666666666666,0.0,0.471,Low
1428,Medicago sativa,L.,Magnoliopsida:Rosidae:Fabales:Leguminosae,,"alfalfa, lucerne, common purple lucerne, common lucerne, purple alfalfa, purple medick, Spanish trefoil, bl�lusern, foder-lucerne, sinimailanen, Luzerne, luzerna, alfafa, luzerna de flor roxa, melga dos prados, medicagem dos pastos, lusern, Medicaginis herba",herb,"erect, prostrate/procumbent/semi-erect",perennial,,"forage/pasture, cover crop",grown on large scale,21.0,27.0,5.0,45.0,600.0,1200.0,350.0,2700.0,6.5,7.5,4.3,8.7,38.0,36.0,56.0,58.0,4000.0,very bright,very bright,very bright,cloudy skies,deep (>>150 cm),medium (50-150 cm),"medium, light","medium, light",high,low,nan,,low (<4 dS/m),medium (4-10 dS/m),well (dry spells),"well (dry spells), excessive (dry/moderately dry)",-25.0,0.0,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",,,,large scale/commercial,100.0,210.0,"['alfalfa', 'lucerne', 'common purple lucerne', 'common lucerne', 'purple alfalfa', 'purple medick', 'spanish trefoil', 'bllusern', 'foder-lucerne', 'sinimailanen', 'luzerne', 'luzerna', 'alfafa', 'luzerna de flor roxa', 'melga dos prados', 'medicagem dos pastos', 'lusern', 'medicaginis herba']","['forage/pasture', 'cover crop']","['steppe or semiarid (bs)', 'subtropical humid (cf)', 'subtropical dry summer (cs)', 'subtropical dry winter (cw)', 'temperate oceanic (do)', 'temperate continental (dc)', 'temperate with humid winters (df)', 'temperate with dry winters (dw)']",[],['grown on large scale'],['perennial'],"['medium', 'light']",['low'],[],"['well (dry spells)', 'excessive (dry/moderately dry)']","['erect', 'prostrate/procumbent/semi-erect']",['herb'],[],['large scale/commercial'],[],[],[],"['short day', 'neutral day', 'long day']","['short day (<12 hours)', 'neutral day (12-14 hours)', 'long day (>14 hours)']","['medium', 'light']","['medium', 'light']",['well'],['well (dry spells)'],['medium'],['medium (4-10 dS/m)'],['high'],['high'],['nan'],['nan'],['medium'],['medium (50-150 cm)'],False,False,False,False,False,False,False,0,False,True,True,110.0,False,2350.0,True,4.3999999999999995,True,40.0,True,0,False,False,False,0.8,0.6666666666666666,0.5,0.678,Moderate
1431,Melaleuca quinquenervia,,Magnoliopsida:Rosidae:Myrtales:Myrtaceae,"Melaleuca leucadendron L. p.p., Melaleuca viridiflora var. rubriflora Brong. & Gris","melaleuca, broad-leafed paperbark tree, five-veined paperbark, broad-leaved paperbark (Australia), paperbark tea-tree (Australia), belbowrie (Australia), numbah (Australia), broad-leaved tea-tree (Australia), white bottlebrush (USA)",tree,erect,perennial,single stem,"materials, ornamentals/turf, medicinals & aromatic, forest/wood, environmental, weed",,18.0,30.0,8.0,38.0,1000.0,3400.0,700.0,5000.0,5.0,6.5,4.5,7.0,5.0,5.0,34.0,34.0,1400.0,very bright,clear skies,very bright,cloudy skies,medium (50-150 cm),shallow (20-50 cm),"heavy, medium","heavy, medium, light, wide, organic",moderate,low,nan,,low (<4 dS/m),medium (4-10 dS/m),"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",-2.0,-1.0,short day (<12 hours),"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf)","fire, drought, flooding",,can become a weed,,210.0,365.0,"['melaleuca', 'broad-leafed paperbark tree', 'five-veined paperbark', 'broad-leaved paperbark (australia)', 'paperbark tea-tree (australia)', 'belbowrie (australia)', 'numbah (australia)', 'broad-leaved tea-tree (australia)', 'white bottlebrush (usa)']","['materials', 'ornamentals/turf', 'medicinals & aromatic', 'forest/wood', 'environmental', 'weed']","['tropical wet & dry (aw)', 'tropical wet (ar)', 'subtropical humid (cf)']","['melaleuca leucadendron l. p.p.', 'melaleuca viridiflora var. rubriflora brong. & gris']",[],['perennial'],"['heavy', 'medium', 'light', 'wide', 'organic']",['low'],[],"['poorly (saturated >50% of year)', 'well (dry spells)', 'excessive (dry/moderately dry)']",['erect'],['tree'],['single stem'],[],['can become a weed'],"['fire', 'drought', 'flooding']",[],['short day'],['short day (<12 hours)'],"['heavy', 'medium']","['heavy', 'medium']","['poorly', 'well']","['poorly (saturated >50% of year)', 'well (dry spells)']",['medium'],['medium (4-10 dS/m)'],['moderate'],['moderate'],['nan'],['nan'],['shallow'],['shallow (20-50 cm)'],False,False,False,False,False,False,False,0,False,False,True,155.0,False,4300.0,True,2.5,True,30.0,True,0,False,False,False,0.6,0.6111111111111112,0.5,0.579,Low
1437,Melinis minutiflora,Beauv.,Liliopsida:Commelinidae:Cyperales:Gramineae,Melinis maitlandii Stapf & C.E. Hubb.,"molasses grass, honey grass, Efwatakala grass, capim gordura",grass,erect,perennial,multi stem,"forage/pasture, environmental","grown on large scale, grown on small scale",22.0,30.0,8.0,36.0,900.0,1700.0,700.0,2700.0,5.0,7.5,4.3,8.4,16.0,16.0,30.0,30.0,2200.0,very bright,light shade,very bright,light shade,shallow (20-50 cm),shallow (20-50 cm),"medium, light","heavy, medium, light",moderate,low,low (6-15% of CEC),high (<5% of CEC),low (<4 dS/m),low (<4 dS/m),well (dry spells),"well (dry spells), excessive (dry/moderately dry)",-5.0,-1.0,short day (<12 hours),"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf)",,flooding,can become a weed,large scale/commercial,120.0,210.0,"['molasses grass', 'honey grass', 'efwatakala grass', 'capim gordura']","['forage/pasture', 'environmental']","['tropical wet & dry (aw)', 'tropical wet (ar)', 'subtropical humid (cf)']",['melinis maitlandii stapf & c.e. hubb.'],"['grown on large scale', 'grown on small scale']",['perennial'],"['heavy', 'medium', 'light']",['low'],['high (<5% of cec)'],"['well (dry spells)', 'excessive (dry/moderately dry)']",['erect'],['grass'],['multi stem'],['large scale/commercial'],['can become a weed'],[],['flooding'],['short day'],['short day (<12 hours)'],"['medium', 'light']","['medium', 'light']",['well'],['well (dry spells)'],['low'],['low (<4 dS/m)'],['moderate'],['moderate'],['low'],['low (6-15% of CEC)'],['shallow'],['shallow (20-50 cm)'],False,False,False,False,False,False,False,0,False,False,True,90.0,True,2000.0,True,4.1000000000000005,True,28.0,True,0,False,False,False,0.5866666666666667,0.6666666666666666,0.5,0.593,Low
1553,Olea europaea,L.,Magnoliopsida:Asteridae:Scrophulariales:Oleaceae,,"olive, ulivo",tree,erect,perennial,"evergreen, single stem","materials, ornamentals/turf, medicinals & aromatic",grown on large scale,20.0,34.0,5.0,40.0,400.0,700.0,200.0,1200.0,6.0,7.0,5.3,8.5,30.0,25.0,45.0,50.0,1200.0,very bright,very bright,clear skies,very bright,deep (>>150 cm),shallow (20-50 cm),"medium, light",wide,moderate,low,nan,,,nan,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",-10.0,0.0,nan,"tropical wet (Ar), steppe or semiarid (Bs), subtropical dry summer (Cs)",,,,,365.0,365.0,"['olive', 'ulivo']","['materials', 'ornamentals/turf', 'medicinals & aromatic']","['tropical wet (ar)', 'steppe or semiarid (bs)', 'subtropical dry summer (cs)']",[],['grown on large scale'],['perennial'],['wide'],['low'],[],"['well (dry spells)', 'excessive (dry/moderately dry)']",['erect'],['tree'],"['evergreen', 'single stem']",[],[],[],[],['nan'],['nan'],"['medium', 'light']","['medium', 'light']",['well'],['well (dry spells)'],['nan'],['nan'],['moderate'],['moderate'],['nan'],['nan'],['shallow'],['shallow (20-50 cm)'],False,False,False,False,False,False,False,0,False,True,True,0.0,True,1000.0,False,3.2,True,35.0,True,0,False,False,False,0.8,0.6666666666666666,0.0,0.553,Low
1603,Panicum coloratum,L.,Liliopsida:Commelinidae:Cyperales:Gramineae,"Panicum crassipes Mez, Panicum swynnertonii Rendle","small buffalo grass, white buffalo grass, capim macaricam, witbuffelsgras",grass,erect,perennial,multi stem,"forage/pasture, environmental",grown on large scale,17.0,26.0,8.0,35.0,500.0,1700.0,400.0,2600.0,5.5,6.5,5.0,7.5,13.0,15.0,30.0,33.0,2100.0,very bright,very bright,very bright,clear skies,shallow (20-50 cm),shallow (20-50 cm),"heavy, medium","heavy, medium, light",moderate,low,nan,,low (<4 dS/m),high (>10 dS/m),"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",-10.0,-1.0,short day (<12 hours),"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical dry summer (Cs)",,,,large scale/commercial,100.0,180.0,"['small buffalo grass', 'white buffalo grass', 'capim macaricam', 'witbuffelsgras']","['forage/pasture', 'environmental']","['tropical wet & dry (aw)', 'steppe or semiarid (bs)', 'subtropical dry summer (cs)']","['panicum crassipes mez', 'panicum swynnertonii rendle']",['grown on large scale'],['perennial'],"['heavy', 'medium', 'light']",['low'],[],"['poorly (saturated >50% of year)', 'well (dry spells)']",['erect'],['grass'],['multi stem'],['large scale/commercial'],[],[],[],['short day'],['short day (<12 hours)'],"['heavy', 'medium']","['heavy', 'medium']","['poorly', 'well']","['poorly (saturated >50% of year)', 'well (dry spells)']",['high'],['high (>10 dS/m)'],['moderate'],['moderate'],['nan'],['nan'],['shallow'],['shallow (20-50 cm)'],False,False,False,False,False,False,False,0,False,False,True,80.0,True,2200.0,True,2.5,True,27.0,True,0,False,False,False,0.58,0.6111111111111112,0.5,0.571,Low
1605,Panicum maximum,Jacq.,Liliopsida:Commelinidae:Cyperales:Gramineae,,"Guinea grass, green panic, Hamilgrass, pasto Guinea, gramalote, gewone buffelsgras, blousaad soetgras, capim da Guine', capim guine' legitimo, erva da Guine', capim de feixe, painco grande, milha do sertao, murubu",grass,erect,perennial,multi stem,forage/pasture,grown on large scale,19.0,30.0,6.0,35.0,1000.0,1800.0,650.0,4300.0,5.0,7.0,3.5,8.4,18.0,16.0,27.0,29.0,2500.0,light shade,cloudy skies,heavy shade,very bright,deep (>>150 cm),medium (50-150 cm),"medium, organic","heavy, medium, light",high,low,low (6-15% of CEC),medium (16-25% of CEC,low (<4 dS/m),medium (4-10 dS/m),well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",-2.0,0.0,short day (<12 hours),"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs)",,,,large scale/commercial,70.0,150.0,"['guinea grass', 'green panic', 'hamilgrass', 'pasto guinea', 'gramalote', 'gewone buffelsgras', 'blousaad soetgras', ""capim da guine'"", ""capim guine' legitimo"", ""erva da guine'"", 'capim de feixe', 'painco grande', 'milha do sertao', 'murubu']",['forage/pasture'],"['tropical wet & dry (aw)', 'tropical wet (ar)', 'subtropical humid (cf)', 'subtropical dry summer (cs)']",[],['grown on large scale'],['perennial'],"['heavy', 'medium', 'light']",['low'],['medium (16-25% of cec'],"['poorly (saturated >50% of year)', 'well (dry spells)', 'excessive (dry/moderately dry)']",['erect'],['grass'],['multi stem'],['large scale/commercial'],[],[],[],['short day'],['short day (<12 hours)'],"['medium', 'organic']","['medium', 'organic']",['well'],['well (dry spells)'],['medium'],['medium (4-10 dS/m)'],['high'],['high'],['low'],['low (6-15% of CEC)'],['medium'],['medium (50-150 cm)'],False,False,False,False,False,False,False,0,False,False,True,80.0,True,3650.0,True,4.9,True,29.0,True,0,False,False,False,0.5933333333333334,0.6666666666666666,0.5,0.596,Low
1642,Pastinaca sativa,L.,Magnoliopsida:Rosidae:Apiales:Umbelliferae,,"parsnip, panais, pastinak",herb,acaulescent (or rosette plants),"annual, biennial",single stem,vegetables,grown on small scale,15.0,21.0,5.0,25.0,500.0,800.0,300.0,1100.0,6.0,6.8,5.8,8.3,37.0,35.0,60.0,62.0,1500.0,very bright,clear skies,very bright,cloudy skies,deep (>>150 cm),medium (50-150 cm),medium,"heavy, medium, light",high,moderate,nan,,low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),-5.0,-1.0,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","steppe or semiarid (Bs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",,,,"home garden, small scale (manual)",80.0,150.0,"['parsnip', 'panais', 'pastinak']",['vegetables'],"['steppe or semiarid (bs)', 'temperate oceanic (do)', 'temperate continental (dc)', 'temperate with humid winters (df)', 'temperate with dry winters (dw)']",[],['grown on small scale'],"['annual', 'biennial']","['heavy', 'medium', 'light']",['moderate'],[],['well (dry spells)'],['acaulescent (or rosette plants)'],['herb'],['single stem'],"['home garden', 'small scale (manual)']",[],[],[],"['short day', 'neutral day', 'long day']","['short day (<12 hours)', 'neutral day (12-14 hours)', 'long day (>14 hours)']",['medium'],['medium'],['well'],['well (dry spells)'],['low'],['low (<4 dS/m)'],['high'],['high'],['nan'],['nan'],['medium'],['medium (50-150 cm)'],False,False,False,False,False,False,False,0,False,False,True,70.0,True,800.0,False,2.500000000000001,True,20.0,True,0,False,False,False,0.5333333333333333,0.6111111111111112,0.0,0.427,Low
1701,Pinus michoacana,,Pinopsida:Pinaceae,,,tree,erect,perennial,"evergreen, single stem",forest/wood,,20.0,28.0,9.0,32.0,1200.0,1500.0,800.0,2500.0,5.5,6.0,4.5,7.0,16.0,16.0,23.0,23.0,2300.0,very bright,very bright,very bright,clear skies,deep (>>150 cm),shallow (20-50 cm),"heavy, medium","heavy, medium",moderate,low,nan,,low (<4 dS/m),low (<4 dS/m),well (dry spells),"well (dry spells), excessive (dry/moderately dry)",-2.0,-1.0,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",tropical wet & dry (Aw),"fire, drought",,,,180.0,300.0,[],['forest/wood'],['tropical wet & dry (aw)'],[],[],['perennial'],"['heavy', 'medium']",['low'],[],"['well (dry spells)', 'excessive (dry/moderately dry)']",['erect'],['tree'],"['evergreen', 'single stem']",[],[],"['fire', 'drought']",[],"['short day', 'neutral day', 'long day']","['short day (<12 hours)', 'neutral day (12-14 hours)', 'long day (>14 hours)']","['heavy', 'medium']","['heavy', 'medium']",['well'],['well (dry spells)'],['low'],['low (<4 dS/m)'],['moderate'],['moderate'],['nan'],['nan'],['shallow'],['shallow (20-50 cm)'],False,False,False,False,False,False,False,0,False,False,True,120.0,False,1700.0,True,2.5,True,23.0,True,0,False,False,False,0.5533333333333333,0.6111111111111112,0.5,0.56,Low
1702,Pinus oocarpa,,Pinopsida:Pinaceae,,,tree,erect,perennial,"evergreen, single stem",forest/wood,,16.0,30.0,10.0,34.0,1000.0,1700.0,700.0,3000.0,5.5,6.5,4.5,7.5,13.0,13.0,28.0,28.0,2400.0,very bright,very bright,very bright,clear skies,deep (>>150 cm),shallow (20-50 cm),"medium, light","heavy, medium, light",high,,nan,,low (<4 dS/m),low (<4 dS/m),well (dry spells),"poorly (saturated >50% of year), well (dry spells)",-1.0,-1.0,short day (<12 hours),"tropical wet & dry (Aw), subtropical dry summer (Cs)",drought,,,,150.0,300.0,[],['forest/wood'],"['tropical wet & dry (aw)', 'subtropical dry summer (cs)']",[],[],['perennial'],"['heavy', 'medium', 'light']",[],[],"['poorly (saturated >50% of year)', 'well (dry spells)']",['erect'],['tree'],"['evergreen', 'single stem']",[],[],['drought'],[],['short day'],['short day (<12 hours)'],"['medium', 'light']","['medium', 'light']",['well'],['well (dry spells)'],['low'],['low (<4 dS/m)'],['high'],['high'],['nan'],['nan'],['shallow'],['shallow (20-50 cm)'],False,False,False,False,False,False,False,0,False,False,True,150.0,False,2300.0,True,3.0,True,24.0,True,0,False,False,False,0.5599999999999999,0.6666666666666666,0.5,0.582,Low
1704,Pinus pseudostrobus,,Pinopsida:Pinaceae,,false white pine,tree,erect,perennial,"evergreen, single stem",forest/wood,,18.0,26.0,9.0,32.0,1100.0,1500.0,1000.0,1600.0,5.5,6.5,4.5,7.5,14.0,14.0,26.0,26.0,3000.0,very bright,clear skies,very bright,cloudy skies,deep (>>150 cm),medium (50-150 cm),"heavy, medium","heavy, medium, light",moderate,low,nan,,low (<4 dS/m),low (<4 dS/m),well (dry spells),"well (dry spells), excessive (dry/moderately dry)",-2.0,-1.0,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","tropical wet & dry (Aw), tropical wet (Ar)",,,,,270.0,365.0,['false white pine'],['forest/wood'],"['tropical wet & dry (aw)', 'tropical wet (ar)']",[],[],['perennial'],"['heavy', 'medium', 'light']",['low'],[],"['well (dry spells)', 'excessive (dry/moderately dry)']",['erect'],['tree'],"['evergreen', 'single stem']",[],[],[],[],"['short day', 'neutral day', 'long day']","['short day (<12 hours)', 'neutral day (12-14 hours)', 'long day (>14 hours)']","['heavy', 'medium']","['heavy', 'medium']",['well'],['well (dry spells)'],['low'],['low (<4 dS/m)'],['moderate'],['moderate'],['nan'],['nan'],['medium'],['medium (50-150 cm)'],False,False,False,False,False,False,False,0,False,False,True,95.0,False,600.0,False,3.0,True,23.0,True,0,False,False,False,0.5533333333333333,0.6666666666666666,0.0,0.455,Low
